"runname","Eval on","Accuracy"
"resnext50_32x4d_fold_3","Train","96.90801056338027"
"resnext50_32x4d_fold_3","Validation","91.27787557789976"
"resnext50_32x4d_fold_3","Test","91.47196261682245"
"resnext50_32x4d_fold_2","Train","96.59135367165148"
"resnext50_32x4d_fold_2","Validation","91.97927953155947"
"resnext50_32x4d_fold_2","Test","90.6542056074767"
"resnext50_32x4d_fold_1","Train","97.54621478873233"
"resnext50_32x4d_fold_1","Validation","91.25304713719328"
"resnext50_32x4d_fold_1","Test","90.15771028037383"
"resnet50_fold_3","Train","96.37984154929578"
"resnet50_fold_3","Validation","90.75704225352108"
"resnet50_fold_3","Test","91.23831775700936"
"resnet50_fold_2","Train","98.49251760563386"
"resnet50_fold_2","Validation","91.25304713719326"
"resnet50_fold_2","Test","90.44976635514023"
"resnet50_fold_1","Train","95.76364436619717"
"resnet50_fold_1","Validation","91.25812568127263"
"resnet50_fold_1","Test","91.00467289719622"
"inception_resnet_v2_fold_3","Train","98.58054577464786"
"inception_resnet_v2_fold_3","Validation","89.4146126760563"
"inception_resnet_v2_fold_3","Test","89.33995327102802"
"inception_resnet_v2_fold_2","Train","97.62323943661966"
"inception_resnet_v2_fold_2","Validation","89.42138408607163"
"inception_resnet_v2_fold_2","Test","88.46378504672903"
"inception_resnet_v2_fold_1","Train","98.62455985915491"
"inception_resnet_v2_fold_1","Validation","89.29442037663003"
"inception_resnet_v2_fold_1","Test","88.75584112149532"
